,0,1
768,+%,79
769,!!!??,79
770,?);,78
771,?/,78
772,^__^,78
773,!)....,78
774,??!?!,78
775,=(.,78
776,æ,78
777,/_,77
778,=========,77
779,"$$$$,",77
780,:)!!,77
781,?!...,76
782,++!,76
783,".,.",76
784,!},76
785,'--,75
786,...!!!!,75
787,"""---",75
788,"....),",75
789,?......,75
790,í.,74
791,"(!!),",74
792,"!""),",74
793,!!!!...,74
794,!?!!,74
795,ğ,74
796,(-:,73
797,-___-,73
798,"!!!!),",73
799,~*,73
800,+++!,73
801,:(((,72
802,?!.,72
803,~.,72
804,õ,71
805,.???,71
806,.):,71
807,"é),",71
808,..',71
809,?!??!,71
810,-_,71
811,"!?),",71
812,....*,71
813,"?,""",71
814,(!!!!),70
815,$$$$$$,70
816,€,70
817,"...."".",70
818,+!!,70
819,"????""",70
820,.[,70
821,(***,70
822,'î,69
823,'É,69
824,###,69
825,#%,69
826,?!',69
827,++++.,69
828,-_-.,69
829,!......,68
830,/',68
831,":(,",68
832,:(...,68
833,^-^,68
834,.&,68
835,??!!!!,68
836,....',68
837,è.,67
838,!?!),67
839,"""/""",67
840,+',67
841,;)).,67
842,...?!,67
843,",?",67
844,".""...",67
845,:/),67
846,______,67
847,......................,67
848,"??"".",67
849,'$,66
850,%....,66
851,-*,66
852,",,,,,,",66
853,...],66
854,)?!,66
855,@@,66
856,Á,66
857,#!,66
858,-----------------------------------,66
859,;',65
860,!#,65
861,+?,65
862,";),",65
863,"'',",65
864,！！,65
865,é!!,65
866,---------------,64
867,----------------,64
868,​​,64
869,($$$),64
870,!;),64
871,)??,63
872,/#,63
873,!!!!....,63
874,*?,63
875,....&,63
876,**!,63
877,(??).,62
878,"/,",62
879,[[,62
880,'.....,62
881,~~~~,62
882,....!!,61
883,Ñ,61
884,.)...,61
885,$$$),61
886,.)!,61
887,"?""..",61
888,....!!!,61
889,!!!!!!!!!!!!!!!!!!!!!!!,60
890,ć,60
891,",*",60
892,;)!,60
893,(^_^),60
894,($),60
895,;-(,60
896,"?""),",60
897,+-,60
898,¿,60
899,!---,60
900,*&,60
901,.:(,60
902,"??,",59
903,¢.,59
904,[*],59
905,.($,59
906,!!!!!!!!!!!!!!!!!!!!!!!!,59
907,"."").",59
908,:)..,59
909,.'',59
910,"++,",59
911,$$).,58
912,***************,58
913,**),58
914,""")...",58
915,"""*",58
916,$@%,57
917,??..,57
918,.);,57
919,"?!?),",57
920,#$,57
921,*~,57
922,+:,57
923,?!?!).,56
924,!!!!',56
925,)=,56
926,".."".",56
927,¨,56
928,!!-,56
929,....:),56
930,(....,56
931,"..."")",56
932,*****.,56
933,~),56
934,.)),55
935,..?),55
936,.+,55
937,)???,55
938,"'"".",55
939,"""à",55
940,_______,55
941,]...,55
942,_.,55
943,ł,55
944,!].,54
945,'(,54
946,:-\,54
947,.......................,54
948,"""........",54
949,-!,54
950,"..,,",54
951,!!!(,54
952,...-,54
953,"???,",54
954,++=,54
955,+++=,54
956,----------------------,54
957,*********************,54
958,******************,54
959,&',53
960,)!!!!!,53
961,"!,""",53
962,.....).,53
963,".....,",53
964,$(,53
965,"""????",53
966,-____-,53
967,".'""",53
968,!!*,52
969,(!?),52
970,!)--,52
971,"?',",52
972,%..,52
973,(..,52
974,?!!!!!,52
975,"?!!""",52
976,(!!).,52
977,$&@,52
978,č,51
979,..!!!!,51
980,****************,51
981,------------------,51
982,...)!,51
983,é....,51
984,é..,51
985,(?!).,51
986,-#,51
987,_-,51
988,¾,51
989,????!!!,51
990,‍‍,51
991,????!!!!,51
992,?!???,50
993,"""!)",50
994,***!,50
995,?!!),50
996,===============,50
997,""":)",50
998,#*,50
999,#:,50
1000,--------------------,50
1001,"è,",50
1002,????!,50
1003,.---,50
1004,"****,",50
1005,---------------------,50
1006,?;,50
1007,:-)!,49
1008,#_,49
1009,++++++++,49
1010,)***,49
1011,Î,49
1012,éé,49
1013,":)""",49
1014,!!**,49
1015,*******************,48
1016,$-$$,48
1017,"'.""",48
1018,=)),48
1019,#),48
1020,*..,48
1021,!!!:),48
1022,:))))),47
1023,",......",47
1024,====,47
1025,(ç,47
1026,=====,47
1027,!)),47
1028,[/,47
1029,.****,47
1030,__________,47
1031,ā,47
1032,......(,47
1033,...?).,47
1034,]!,47
1035,).......,47
1036,...!),47
1037,(++),47
1038,...=),47
1039,[+],47
1040,:^),46
1041,"'?""",46
1042,"!""?",46
1043,??????????,46
1044,.:-),46
1045,-/+,46
1046,",--",46
1047,(****,45
1048,ó.,45
1049,+++++.,45
1050,;/,45
1051,$$...,45
1052,.#,45
1053,".?""",45
1054,".......""",45
1055,-?,45
1056,:(),45
1057,-------------------------,45
1058,:::::,45
1059,.?!,45
1060,(?!?),45
1061,-:,45
1062,...????,44
1063,?*,44
1064,-----------------,44
1065,\_,44
1066,",;",44
1067,é!!!,44
1068,**************,44
1069,#-,44
1070,"]""",44
1071,*%,44
1072,.../,44
1073,:*,44
1074,")?""",44
1075,‼‼,43
1076,!!?!,43
1077,??....,43
1078,?)-,43
1079,********************,43
1080,'.),43
1081,?)....,43
1082,"..,.",43
1083,".!""",43
1084,-&,43
1085,&$,43
1086,Ê,43
1087,：,43
1088,?)..,43
1089,!!!***,42
1090,---------------------------------------------------,42
1091,@&,42
1092,ū,42
1093,!!.....,42
1094,--.,42
1095,".,..",42
1096,"""+",42
1097,"]),",42
1098,.~,42
1099,=======,42
1100,?!!?!,42
1101,"?!"",",42
1102,"!],",42
1103,!!!!!!.,42
1104,@#$,42
1105,------------------------,41
1106,;.,41
1107,"""!!!!!",41
1108,....??,41
1109,$#,41
1110,!!!!!!),41
1111,！！！,41
1112,"***""",41
1113,?!?!!!,41
1114,'â,41
1115,"?!,",41
1116,[:,41
1117,».,41
1118,.!),41
1119,+....,41
1120,????).,41
1121,(?)...,41
1122,--------------------------,41
1123,äß,41
1124,"/),",41
1125,(????),41
1126,;;,41
1127,*!!,41
1128,+;,41
1129,£,41
1130,($$),40
1131,Ö,40
1132,$$$$$$$,40
1133,"""?.",40
1134,=&,40
1135,....???,40
1136,!!!????,40
1137,======,40
1138,]],40
1139,---$,40
1140,;]]],40
1141,"»,",40
1142,~*~,40
1143,-...,40
1144,!!!.....,40
1145,:)!!!,40
1146,****!,40
1147,(é,40
1148,(??,40
1149,".""),",39
1150,.\,39
1151,đ,39
1152,"!""....",39
1153,!!!!???,39
1154,*****************************,39
1155,⁃,39
1156,!}.,39
1157,.........................,39
1158,.?.,39
1159,-_-),39
1160,!!!!!!!!!!!!!!!!!!!!!!!!!!,39
1161,....!!!!,39
1162,?!?!??,39
1163,"!?!""",39
1164,*****************,39
1165,+++++++++,39
1166,"""""""",39
1167,!!!-,39
1168,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,39
1169,**:,39
1170,-:::-,39
1171,&#,38
1172,$$$).,38
1173,.!!!!!!,38
1174,[*****],38
1175,ē,38
1176,*....,38
1177,"--,",38
1178,**********************,38
1179,Û,38
1180,/(,38
1181,"!?!?""",38
1182,?!?!?!?!?,38
1183,:):):),38
1184,"**""",38
1185,!!!!!!!!!!!!!!!!!!!!!!!!!!!!,38
1186,..*,38
1187,-:),38
1188,"?...""",38
1189,-=,38
1190,&*,37
1191,(!!!!!),37
1192,‼‼‼,37
1193,[**],37
1194,[***],37
1195,[****],37
1196,!!?!?,37
1197,":-),",37
1198,--------------------------------------------------,37
1199,??!!??,37
1200,"].""",37
1201,......),37
1202,$%,37
1203,的,37
1204,"?"".....",37
1205,\\,37
1206,!????,37
1207,......$,37
1208,"!',",37
1209,)&,37
1210,(+):,37
1211,:',37
1212,)$,37
1213,!!!!..,37
1214,ś,37
1215,!!!!!!!!!!!!!!!!!!!!!!!!!!!,37
1216,"---""",37
1217,...[,36
1218,Ô,36
1219,#@,36
1220,...;),36
1221,@_@,36
1222,;))),36
1223,!.......,36
1224,#$%,36
1225,？,36
1226,;-)),36
1227,..:(,36
1228,"(??),",36
1229,"?.""",36
1230,^_^.,36
1231,:-/.,36
1232,........................,36
1233,$!!!!,36
1234,-----------------------,35
1235,（,35
1236,+..,35
1237,@!,35
1238,Ó,35
1239,位于,35
1240,---------------------------------------------,35
1241,.;),35
1242,%;,35
1243,!!!!!).,35
1244,"ß,",35
1245,..???,35
1246,......?,35
1247,?!?!!?,35
1248,??!),35
1249,$$!!,35
1250,"!.""",35
1251,"°,",34
1252,:...,34
1253,....:(,34
1254,!@,34
1255,---------------------------,34
1256,"??!!""",34
1257,&&&,34
1258,.​,34
1259,$$$$!,34
1260,"!""..",34
1261,"ó,",34
1262,"?!?!?""",34
1263,];,34
1264,(-):,34
1265,().,34
1266,________,34
1267,"(???),",34
1268,:-|,34
1269,!)?,34
1270,?'',34
1271,".,,,",34
1272,"""&",34
1273,.^^,34
1274,:((((,34
1275,").,",34
1276,")"",",33
1277,"..?""",33
1278,$$',33
1279,!)!!,33
1280,"""$$""",33
1281,çõ,33
1282,????.,33
1283,-------------------------------,33
1284,"!,,",33
1285,%!!!!,33
1286,?!!!!!!,33
1287,)($,33
1288,++++++++++,33
1289,"???"".",33
1290,"(),",33
1291,.*****,33
1292,@#$%,33
1293,"?!?!),",33
1294,"""]",33
1295,​!,33
1296,....:,33
1297,???....,33
1298,??!?!?,33
1299,!!!!!!!!!!!!!!!!!!!!!!!!!,33
1300,-=-,33
1301,*************************,33
1302,§,33
1303,___________,33
1304,...;,33
1305,.-.,33
1306,------------------------------------------------,32
1307,=============,32
1308,$$-$$$,32
1309,!?...,32
1310,)],32
1311,-é,32
1312,à...,32
1313,"+++,",32
1314,^___^,32
1315,=-),32
1316,";,",31
1317,***************************,31
1318,**(,31
1319,'......,31
1320,"),""",31
1321,-------------------,31
1322,:(!,31
1323,%/,31
1324,"""?).",31
1325,^^.,31
1326,??',31
1327,-É,31
1328,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,31
1329,????????????,31
1330,~~~~~,31
1331,!!:)),31
1332,"%.""",31
1333,...)...,31
1334,、,31
1335,!?!?!?!?,31
1336,!/,31
1337,$#!,31
1338,&.,31
1339,$$$...,31
1340,!?!?),31
1341,":,",31
1342,～,31
1343,®.,31
1344,(*),31
1345,"""=",30
1346,üß,30
1347,-).,30
1348,'Î,30
1349,!!!**,30
1350,","".",30
1351,"?""-",30
1352,"(?!),",30
1353,.?),30
1354,!:-),30
1355,++++!,30
1356,???!!!!!,30
1357,?!?!?!?!?!,30
1358,....|,30
1359,..|,30
1360,$??,30
1361,".""....",30
1362,"ù,",30
1363,-------------------------------------------------,30
1364,"é"",",30
1365,-----------------------------,30
1366,--------------------------------------,30
1367,..........................,30
1368,Í,30
1369,^_^*~,29
1370,á!,29
1371,)**,29
1372,",,,,,,,",29
1373,.'),29
1374,&%,29
1375,)))),29
1376,(****),29
1377,-----------------------------------------------,29
1378,"¢,",29
1379,;)...,29
1380,%',29
1381,")!""",29
1382,!!??!!,29
1383,.::,29
1384,----------------------------,29
1385,...:-),29
1386,‍‍‍,29
1387,"®,",29
1388,"??!""",29
1389,____________,29
1390,"$""",29
1391,ą,29
1392,-%,29
1393,??!!),29
1394,""")!",29
1395,İ,29
1396,"(,",28
1397,".""?",28
1398,!!~,28
1399,'!),28
1400,*!!!,28
1401,..?!,28
1402,?????),28
1403,^^^,28
1404,...!!!!!,28
1405,@$$.,28
1406,"~,",28
1407,***:,28
1408,;(.,28
1409,"?'""",28
1410,$;,28
1411,--------------------------------------------,28
1412,"?!!!""",28
1413,......!,28
1414,[-],28
1415,ę,28
1416,:..,27
1417,=/.,27
1418,"_,",27
1419,!!)...,27
1420,---------------------------------------,27
1421,",...)",27
1422,?!?!?),27
1423,.²,27
1424,".""-",27
1425,(?!?!),27
1426,"?"";",27
1427,"""....""",27
1428,:*(,27
1429,é(,27
1430,*_*,27
1431,"é"".",27
1432,???????????,27
1433,?:),27
1434,!!!*,27
1435,...);,27
1436,™.,27
1437,_____________,27
1438,"..."").",27
1439,":)),",27
1440,"!!"",",27
1441,___________________________________,27
1442,----------------------------------------------,27
1443,'?),26
1444,??!??,26
1445,"""?!?",26
1446,"......,",26
1447,!!:,26
1448,________________________________________,26
1449,賭城,26
1450,";-),",26
1451,"""?,",26
1452,..............................,26
1453,-@,26
1454,!****,26
1455,(***),26
1456,*/,26
1457,:-)).,26
1458,?!..,26
1459,"!!!!!!""",26
1460,$~,26
1461,ì.,26
1462,ž,26
1463,­,26
1464,??!!?,25
1465,š,25
1466,"!""-",25
1467,*;,25
1468,(???,25
1469,""");",25
1470,"""$""",25
1471,""",""",25
1472,@&$,25
1473,ñí,25
1474,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,25
1475,$$?,25
1476,?????????????,25
1477,$$-,25
1478,)!.,25
1479,".""""",25
1480,$$..,25
1481,!!!!!...,25
1482,"....?""",25
1483,[],25
1484,",:",24
1485,$$$$$$$$,24
1486,)!!!!!!,24
1487,==============,24
1488,..?).,24
1489,(?):,24
1490,!!!!????,24
1491,"""!?",24
1492,",!!",24
1493,.????,24
1494,?---,24
1495,-----------------------------------------,24
1496,°+,24
1497,"""..........",24
1498,!?.,24
1499,---------------------------------,24
1500,_________,24
1501,////,24
1502,============,24
1503,"!!!!!),",24
1504,$$$?,24
1505,!!***,24
1506,***),24
1507,)+,24
1508,..#,24
1509,!:(,24
1510,???..,24
1511,ō.,24
1512,Ä,24
1513,%$,24
1514,!!!],24
1515,!!--,24
1516,ń,24
1517,!!!!!',24
1518,!!)!,24
1519,@@@,24
1520,[][],24
1521,**************************,23
1522,á.,23
1523,"'!""",23
1524,.=,23
1525,!?!??,23
1526,$$$$$$.,23
1527,"...,,",23
1528,!!],23
1529,...?!?,23
1530,",).",23
1531,!!);,23
1532,"*****,",23
1533,ú.,23
1534,@.,23
1535,":,(",23
1536,+++!!!,23
1537,"!!!!!,",23
1538,(*****),23
1539,($$$).,23
1540,?!!??,23
1541,.@,23
1542,..=,23
1543,".""..",23
1544,""".........",23
1545,(*****,23
1546,""""".",23
1547,.(:,23
1548,:{,23
1549,".,""",23
1550,*******************************,23
1551,ô.,23
1552,!'',23
1553,-..,23
1554,$#!+,22
1555,--------------------------------,22
1556,===========,22
1557,.=),22
1558,''',22
1559,??.....,22
1560,".)""",22
1561,?!?.,22
1562,($$$$),22
1563,.'.,22
1564,"...."",",22
1565,!!!)...,22
1566,...!).,22
1567,".."",",22
1568,...........................,22
1569,".,)",22
1570,"[""",22
1571,"!!!"",",22
1572,²,22
1573,*^,22
1574,:/).,22
1575,++!!,22
1576,》,22
1577,!!!!!....,22
1578,^^),22
1579,,22
1580,ß.,22
1581,((:,22
1582,========,22
1583,"'"",",22
1584,??!?!?!,22
1585,####,22
1586,!)!!!,22
1587,)...$,22
1588,"____,",21
1589,....!!!!!,21
1590,$@,21
1591,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,21
1592,***?,21
1593,"****""",21
1594,".""(",21
1595,",),",21
1596,($~,21
1597,"""!.",21
1598,----------------------------------,21
1599,$!!!!!,21
1600,.......$,21
1601,-------------------------------------------,21
1602,'???,21
1603,#).,21
1604,...**,21
1605,'??,21
1606,***(,21
1607,==========,21
1608,...............................,21
1609,"""...(",21
1610,"...,""",21
1611,"$$$$$,",21
1612,"""$$$""",21
1613,_________________________,21
1614,____________________,21
1615,....#,21
1616,!!!!?,21
1617,"........""",21
1618,".,...",21
1619,++),21
1620,?].,21
1621,!?!).,21
1622,............................,21
1623,+!!!!,21
1624,'[,21
1625,...!?,21
1626,#%$&,21
1627,""".,",21
1628,..-,21
1629,..;,21
1630,**-,21
1631,ż,21
